eqId,runId,optId,D,OA,TO,xmax,ymax,zmax,tmax,fpSize,addsLup,subsLup,multsLup,divsLup,readsLup,writesLup,ldMats,immediateMats,nThreads,duration (s)
10,1,1,1,2,0,2.56e+05,0,0,16,8,2,0,3,0,1,1,0,1,1,0.007754
10,1,1,2,2,0,512,512,0,16,8,4,0,5,0,3,1,0,1,1,0.01631
10,1,1,3,2,0,64,64,64,16,8,6,0,7,0,5,1,0,1,1,0.02334
10,1,1,1,4,0,2.56e+05,0,0,16,8,4,0,5,0,1,1,0,1,1,0.02432
10,1,1,2,4,0,512,512,0,16,8,8,0,9,0,5,1,0,1,1,0.03456
10,1,1,3,4,0,64,64,64,16,8,12,0,13,0,9,1,0,1,1,0.04598
10,1,1,1,2,1,2.56e+05,0,0,16,8,3,0,4,0,2,1,0,1,1,0.01312
10,1,1,2,2,1,512,512,0,16,8,5,0,6,0,4,1,0,1,1,0.01879
10,1,1,3,2,1,64,64,64,16,8,7,0,8,0,6,1,0,1,1,0.02467
10,1,1,1,4,1,2.56e+05,0,0,16,8,5,0,6,0,2,1,0,1,1,0.02396
10,1,1,2,4,1,512,512,0,16,8,9,0,10,0,6,1,0,1,1,0.03558
10,1,1,3,4,1,64,64,64,16,8,13,0,14,0,10,1,0,1,1,0.04748
10,1,1,1,2,2,2.56e+05,0,0,16,8,4,0,5,0,3,1,0,1,1,0.0153
10,1,1,2,2,2,512,512,0,16,8,6,0,7,0,5,1,0,1,1,0.04676
10,1,1,3,2,2,64,64,64,16,8,8,0,9,0,7,1,0,1,1,0.02921
10,1,1,1,4,2,2.56e+05,0,0,16,8,6,0,7,0,3,1,0,1,1,0.01961
10,1,1,2,4,2,512,512,0,16,8,10,0,11,0,7,1,0,1,1,0.03694
10,1,1,3,4,2,64,64,64,16,8,14,0,15,0,11,1,0,1,1,0.05001
10,1,1,1,2,0,2.56e+05,0,0,16,8,2,0,3,0,4,1,1,1,1,0.01276
10,1,1,2,2,0,512,512,0,16,8,4,0,5,0,8,1,1,1,1,0.02297
10,1,1,3,2,0,64,64,64,16,8,6,0,7,0,12,1,1,1,1,0.05541
10,1,1,1,4,0,2.56e+05,0,0,16,8,4,0,5,0,6,1,1,1,1,0.02288
10,1,1,2,4,0,512,512,0,16,8,8,0,9,0,14,1,1,1,1,0.1115
