eqId,runId,optId,D,OA,TO,xmax,ymax,zmax,tmax,fpSize,addsLup,subsLup,multsLup,divsLup,readsLup,writesLup,ldMats,immediateMats,nThreads,duration (s)
generic,1,orig,1,2,0,2.56e+05,0,0,16,8,2,0,3,0,1,1,0,1,1,0.007754
generic,1,orig,2,2,0,512,512,0,16,8,4,0,5,0,3,1,0,1,1,0.01631
generic,1,orig,3,2,0,64,64,64,16,8,6,0,7,0,5,1,0,1,1,0.02334
generic,1,orig,1,4,0,2.56e+05,0,0,16,8,4,0,5,0,1,1,0,1,1,0.02432
generic,1,orig,2,4,0,512,512,0,16,8,8,0,9,0,5,1,0,1,1,0.03456
generic,1,orig,3,4,0,64,64,64,16,8,12,0,13,0,9,1,0,1,1,0.04598
generic,1,orig,1,2,1,2.56e+05,0,0,16,8,3,0,4,0,2,1,0,1,1,0.01312
generic,1,orig,2,2,1,512,512,0,16,8,5,0,6,0,4,1,0,1,1,0.01879
generic,1,orig,3,2,1,64,64,64,16,8,7,0,8,0,6,1,0,1,1,0.02467
generic,1,orig,1,4,1,2.56e+05,0,0,16,8,5,0,6,0,2,1,0,1,1,0.02396
generic,1,orig,2,4,1,512,512,0,16,8,9,0,10,0,6,1,0,1,1,0.03558
generic,1,orig,3,4,1,64,64,64,16,8,13,0,14,0,10,1,0,1,1,0.04748
generic,1,orig,1,2,2,2.56e+05,0,0,16,8,4,0,5,0,3,1,0,1,1,0.0153
generic,1,orig,2,2,2,512,512,0,16,8,6,0,7,0,5,1,0,1,1,0.04676
generic,1,orig,3,2,2,64,64,64,16,8,8,0,9,0,7,1,0,1,1,0.02921
generic,1,orig,1,4,2,2.56e+05,0,0,16,8,6,0,7,0,3,1,0,1,1,0.01961
generic,1,orig,2,4,2,512,512,0,16,8,10,0,11,0,7,1,0,1,1,0.03694
generic,1,orig,3,4,2,64,64,64,16,8,14,0,15,0,11,1,0,1,1,0.05001
generic,1,orig,1,2,0,2.56e+05,0,0,16,8,2,0,3,0,4,1,1,1,1,0.01276
generic,1,orig,2,2,0,512,512,0,16,8,4,0,5,0,8,1,1,1,1,0.02297
generic,1,orig,3,2,0,64,64,64,16,8,6,0,7,0,12,1,1,1,1,0.05541
generic,1,orig,1,4,0,2.56e+05,0,0,16,8,4,0,5,0,6,1,1,1,1,0.02288
generic,1,orig,2,4,0,512,512,0,16,8,8,0,9,0,14,1,1,1,1,0.1115
generic,1,orig,3,4,0,64,64,64,16,8,12,0,13,0,22,1,1,1,1,0.1205
generic,1,orig,1,2,1,2.56e+05,0,0,16,8,3,0,4,0,5,1,1,1,1,0.01277
generic,1,orig,2,2,1,512,512,0,16,8,5,0,6,0,9,1,1,1,1,0.0275
generic,1,orig,3,2,1,64,64,64,16,8,7,0,8,0,13,1,1,1,1,0.04833
generic,1,orig,1,4,1,2.56e+05,0,0,16,8,5,0,6,0,7,1,1,1,1,0.02388
generic,1,orig,2,4,1,512,512,0,16,8,9,0,10,0,15,1,1,1,1,0.1132
generic,1,orig,3,4,1,64,64,64,16,8,13,0,14,0,23,1,1,1,1,0.2667
generic,1,orig,1,2,2,2.56e+05,0,0,16,8,4,0,5,0,6,1,1,1,1,0.01706
generic,1,orig,2,2,2,512,512,0,16,8,6,0,7,0,10,1,1,1,1,0.04861
generic,1,orig,3,2,2,64,64,64,16,8,8,0,9,0,14,1,1,1,1,0.06641
generic,1,orig,1,4,2,2.56e+05,0,0,16,8,6,0,7,0,8,1,1,1,1,0.02604
generic,1,orig,2,4,2,512,512,0,16,8,10,0,11,0,16,1,1,1,1,0.08205
generic,1,orig,3,4,2,64,64,64,16,8,14,0,15,0,24,1,1,1,1,0.1324
generic,1,orig,1,2,0,2.56e+05,0,0,16,8,2,0,3,1,1,1,0,1,1,0.02979
generic,1,orig,2,2,0,512,512,0,16,8,4,0,5,1,3,1,0,1,1,0.02994
generic,1,orig,3,2,0,64,64,64,16,8,6,0,7,1,5,1,0,1,1,0.02874
generic,1,orig,1,4,0,2.56e+05,0,0,16,8,4,0,5,1,1,1,0,1,1,0.03449
generic,1,orig,2,4,0,512,512,0,16,8,8,0,9,1,5,1,0,1,1,0.03928
generic,1,orig,3,4,0,64,64,64,16,8,12,0,13,1,9,1,0,1,1,0.0578
generic,1,orig,1,2,1,2.56e+05,0,0,16,8,3,0,4,1,2,1,0,1,1,0.03074
generic,1,orig,2,2,1,512,512,0,16,8,5,0,6,1,4,1,0,1,1,0.03108
generic,1,orig,3,2,1,64,64,64,16,8,7,0,8,1,6,1,0,1,1,0.0291
generic,1,orig,1,4,1,2.56e+05,0,0,16,8,5,0,6,1,2,1,0,1,1,0.03296
generic,1,orig,2,4,1,512,512,0,16,8,9,0,10,1,6,1,0,1,1,0.04094
generic,1,orig,3,4,1,64,64,64,16,8,13,0,14,1,10,1,0,1,1,0.06114
generic,1,orig,1,2,2,2.56e+05,0,0,16,8,4,0,5,1,3,1,0,1,1,0.02884
generic,1,orig,2,2,2,512,512,0,16,8,6,0,7,1,5,1,0,1,1,0.05513
generic,1,orig,3,2,2,64,64,64,16,8,8,0,9,1,7,1,0,1,1,0.03005
generic,1,orig,1,4,2,2.56e+05,0,0,16,8,6,0,7,1,3,1,0,1,1,0.03263
generic,1,orig,2,4,2,512,512,0,16,8,10,0,11,1,7,1,0,1,1,0.0365
generic,1,orig,3,4,2,64,64,64,16,8,14,0,15,1,11,1,0,1,1,0.06055
generic,1,orig,1,2,0,2.56e+05,0,0,16,8,2,0,3,1,4,1,1,1,1,0.02557
generic,1,orig,2,2,0,512,512,0,16,8,4,0,5,1,8,1,1,1,1,0.029
generic,1,orig,3,2,0,64,64,64,16,8,6,0,7,1,12,1,1,1,1,0.04283
generic,1,orig,1,4,0,2.56e+05,0,0,16,8,4,0,5,1,6,1,1,1,1,0.02988
generic,1,orig,2,4,0,512,512,0,16,8,8,0,9,1,14,1,1,1,1,0.07198
generic,1,orig,3,4,0,64,64,64,16,8,12,0,13,1,22,1,1,1,1,0.1239
generic,1,orig,1,2,1,2.56e+05,0,0,16,8,3,0,4,1,5,1,1,1,1,0.02567
generic,1,orig,2,2,1,512,512,0,16,8,5,0,6,1,9,1,1,1,1,0.02913
generic,1,orig,3,2,1,64,64,64,16,8,7,0,8,1,13,1,1,1,1,0.05031
generic,1,orig,1,4,1,2.56e+05,0,0,16,8,5,0,6,1,7,1,1,1,1,0.02852
